Technique (ID), Technique (Name), Sub-technique (Name), Num. CAR, Num. Sigma, Num. ES SIEM, Num. Splunk, Total
T1564,Hide Artifacts,n/a,0,6,7,1,14
T1564.001,Hide Artifacts,Hidden Files and Directories,0,8,5,2,15
T1564.002,Hide Artifacts,Hidden Users,0,4,0,0,4
T1564.003,Hide Artifacts,Hidden Window,0,2,0,0,2
T1564.004,Hide Artifacts,NTFS File Attributes,2,19,2,0,23
T1564.005,Hide Artifacts,Hidden File System,0,0,0,0,0
T1564.006,Hide Artifacts,Run Virtual Instance,0,2,0,0,2
T1564.007,Hide Artifacts,VBA Stomping,0,0,0,0,0
T1564.008,Hide Artifacts,Email Hiding Rules,0,0,0,0,0
T1564.009,Hide Artifacts,Resource Forking,0,0,0,0,0
T1564.010,Hide Artifacts,Process Argument Spoofing,0,0,0,0,0
T1565,Data Manipulation,n/a,0,3,3,0,6
T1565.001,Data Manipulation,Stored Data Manipulation,0,3,3,0,6
T1565.002,Data Manipulation,Transmitted Data Manipulation,0,1,0,0,1
T1565.003,Data Manipulation,Runtime Data Manipulation,0,0,0,0,0
T1566,Phishing,n/a,0,9,17,33,59
T1566.001,Phishing,Spearphishing Attachment,0,15,11,29,55
T1566.002,Phishing,Spearphishing Link,0,1,8,1,10
T1566.003,Phishing,Spearphishing via Service,0,0,0,1,1
T1567,Exfiltration Over Web Service,n/a,0,7,1,2,10
T1567.001,Exfiltration Over Web Service,Exfiltration to Code Repository,0,3,0,0,3
T1567.002,Exfiltration Over Web Service,Exfiltration to Cloud Storage,0,7,0,1,8
T1568,Dynamic Resolution,n/a,0,1,3,0,4
T1568.001,Dynamic Resolution,Fast Flux DNS,0,0,0,0,0
T1568.002,Dynamic Resolution,Domain Generation Algorithms,0,2,3,1,6
T1568.003,Dynamic Resolution,DNS Calculation,0,0,0,0,0
T1569,System Services,n/a,0,4,3,5,12
T1569.001,System Services,Launchctl,1,0,0,0,1
T1569.002,System Services,Service Execution,4,40,3,5,52
T1570,Lateral Tool Transfer,n/a,3,2,1,0,6
T1571,Non-Standard Port,n/a,0,3,1,0,4
T1572,Protocol Tunneling,n/a,0,12,5,3,20
T1573,Encrypted Channel,n/a,0,4,1,2,7
T1573.001,Encrypted Channel,Symmetric Cryptography,0,0,0,0,0
T1573.002,Encrypted Channel,Asymmetric Cryptography,0,0,0,0,0
T1574,Hijack Execution Flow,n/a,0,8,9,11,28
T1574.001,Hijack Execution Flow,DLL Search Order Hijacking,1,22,1,4,28
T1574.002,Hijack Execution Flow,DLL Side-Loading,0,42,2,5,49
T1574.004,Hijack Execution Flow,Dylib Hijacking,0,0,0,0,0
T1574.005,Hijack Execution Flow,Executable Installer File Permissions Weakness,0,1,0,0,1
T1574.006,Hijack Execution Flow,Dynamic Linker Hijacking,0,2,3,1,6
T1574.007,Hijack Execution Flow,Path Interception by PATH Environment Variable,1,1,3,0,5
T1574.008,Hijack Execution Flow,Path Interception by Search Order Hijacking,1,1,0,0,2
T1574.009,Hijack Execution Flow,Path Interception by Unquoted Path,2,0,0,1,3
T1574.010,Hijack Execution Flow,Services File Permissions Weakness,2,0,1,0,3
T1574.011,Hijack Execution Flow,Services Registry Permissions Weakness,4,9,0,2,15
T1574.012,Hijack Execution Flow,COR_PROFILER,0,2,0,0,2
T1574.013,Hijack Execution Flow,KernelCallbackTable,0,0,0,0,0
T1578,Modify Cloud Compute Infrastructure,n/a,0,1,2,0,3
T1578.001,Modify Cloud Compute Infrastructure,Create Snapshot,0,0,0,0,0
T1578.002,Modify Cloud Compute Infrastructure,Create Cloud Instance,0,0,0,0,0
T1578.003,Modify Cloud Compute Infrastructure,Delete Cloud Instance,0,1,0,0,1
T1578.004,Modify Cloud Compute Infrastructure,Revert Cloud Instance,0,0,1,0,1
T1580,Cloud Infrastructure Discovery,n/a,0,0,0,2,2
T1583,Acquire Infrastructure,n/a,0,0,0,0,0
T1583.001,Acquire Infrastructure,Domains,0,0,0,0,0
T1583.002,Acquire Infrastructure,DNS Server,0,0,0,0,0
T1583.003,Acquire Infrastructure,Virtual Private Server,0,0,0,0,0
T1583.004,Acquire Infrastructure,Server,0,0,0,0,0
T1583.005,Acquire Infrastructure,Botnet,0,0,0,0,0
T1583.006,Acquire Infrastructure,Web Services,0,0,0,0,0
T1584,Compromise Infrastructure,n/a,0,2,0,0,2
T1584.001,Compromise Infrastructure,Domains,0,0,0,0,0
T1584.002,Compromise Infrastructure,DNS Server,0,0,0,0,0
T1584.003,Compromise Infrastructure,Virtual Private Server,0,0,0,0,0
T1584.004,Compromise Infrastructure,Server,0,0,0,0,0
T1584.005,Compromise Infrastructure,Botnet,0,0,0,0,0
T1584.006,Compromise Infrastructure,Web Services,0,0,0,0,0
T1585,Establish Accounts,n/a,0,0,0,0,0
T1585.001,Establish Accounts,Social Media Accounts,0,0,0,0,0
T1585.002,Establish Accounts,Email Accounts,0,0,0,0,0
T1586,Compromise Accounts,n/a,0,0,0,26,26
T1586.001,Compromise Accounts,Social Media Accounts,0,0,0,0,0
T1586.002,Compromise Accounts,Email Accounts,0,0,0,0,0
T1587,Develop Capabilities,n/a,0,5,0,0,5
T1587.001,Develop Capabilities,Malware,0,10,0,0,10
T1587.002,Develop Capabilities,Code Signing Certificates,0,0,0,0,0
T1587.003,Develop Capabilities,Digital Certificates,0,0,0,2,2
T1587.004,Develop Capabilities,Exploits,0,0,0,0,0
T1588,Obtain Capabilities,n/a,0,2,1,0,3
T1588.001,Obtain Capabilities,Malware,0,1,0,0,1
T1588.002,Obtain Capabilities,Tool,0,7,0,2,9
T1588.003,Obtain Capabilities,Code Signing Certificates,0,0,0,0,0
T1588.004,Obtain Capabilities,Digital Certificates,0,0,0,2,2
T1588.005,Obtain Capabilities,Exploits,0,0,0,0,0
T1588.006,Obtain Capabilities,Vulnerabilities,0,0,0,0,0
T1589,Gather Victim Identity Information,n/a,0,1,0,2,3
T1589.001,Gather Victim Identity Information,Credentials,0,0,0,1,1
T1589.002,Gather Victim Identity Information,Email Addresses,0,0,0,1,1
T1589.003,Gather Victim Identity Information,Employee Names,0,0,0,0,0
T1590,Gather Victim Network Information,n/a,0,2,0,2,4
T1590.001,Gather Victim Network Information,Domain Properties,0,0,0,0,0
T1590.002,Gather Victim Network Information,DNS,0,0,0,0,0
T1590.003,Gather Victim Network Information,Network Trust Dependencies,0,0,0,0,0
T1590.004,Gather Victim Network Information,Network Topology,0,0,0,0,0
T1590.005,Gather Victim Network Information,IP Addresses,0,0,0,2,2
T1590.006,Gather Victim Network Information,Network Security Appliances,0,0,0,0,0
T1591,Gather Victim Org Information,n/a,0,0,0,0,0
T1591.001,Gather Victim Org Information,Determine Physical Locations,0,0,0,0,0
T1591.002,Gather Victim Org Information,Business Relationships,0,0,0,0,0
T1591.003,Gather Victim Org Information,Identify Business Tempo,0,0,0,0,0
T1591.004,Gather Victim Org Information,Identify Roles,0,0,0,0,0
T1592,Gather Victim Host Information,n/a,0,1,0,5,6
T1592.001,Gather Victim Host Information,Hardware,0,0,0,1,1
T1592.002,Gather Victim Host Information,Software,0,0,0,0,0
T1592.003,Gather Victim Host Information,Firmware,0,0,0,0,0
T1592.004,Gather Victim Host Information,Client Configurations,0,3,0,0,3
T1593,Search Open Websites/Domains,n/a,0,0,0,0,0
T1593.001,Search Open Websites/Domains,Social Media,0,0,0,0,0
T1593.002,Search Open Websites/Domains,Search Engines,0,0,0,0,0
T1594,Search Victim-Owned Websites,n/a,0,0,0,0,0
T1595,Active Scanning,n/a,0,0,0,1,1
T1595.001,Active Scanning,Scanning IP Blocks,0,0,0,0,0
T1595.002,Active Scanning,Vulnerability Scanning,0,1,0,0,1
T1595.003,Active Scanning,Wordlist Scanning,0,0,0,0,0
T1596,Search Open Technical Databases,n/a,0,0,0,0,0
T1596.001,Search Open Technical Databases,DNS/Passive DNS,0,0,0,0,0
T1596.002,Search Open Technical Databases,WHOIS,0,0,0,0,0
T1596.003,Search Open Technical Databases,Digital Certificates,0,0,0,0,0
T1596.004,Search Open Technical Databases,CDNs,0,0,0,0,0
T1596.005,Search Open Technical Databases,Scan Databases,0,0,0,0,0
T1597,Search Closed Sources,n/a,0,0,0,0,0
T1597.001,Search Closed Sources,Threat Intel Vendors,0,0,0,0,0
T1597.002,Search Closed Sources,Purchase Technical Data,0,0,0,0,0
T1598,Phishing for Information,n/a,0,0,0,0,0
T1598.001,Phishing for Information,Spearphishing Service,0,0,0,0,0
T1598.002,Phishing for Information,Spearphishing Attachment,0,0,0,0,0
T1598.003,Phishing for Information,Spearphishing Link,0,0,0,0,0
T1599,Network Boundary Bridging,n/a,0,0,0,0,0
T1599.001,Network Boundary Bridging,Network Address Translation Traversal,0,1,0,0,1
T1600,Weaken Encryption,n/a,0,0,0,0,0
T1600.001,Weaken Encryption,Reduce Key Space,0,0,0,0,0
T1600.002,Weaken Encryption,Disable Crypto Hardware,0,0,0,0,0
T1601,Modify System Image,n/a,0,0,0,0,0
T1601.001,Modify System Image,Patch System Image,0,0,0,0,0
T1601.002,Modify System Image,Downgrade System Image,0,0,0,0,0
T1602,Data from Configuration Repository,n/a,0,0,0,0,0
T1602.001,Data from Configuration Repository,SNMP (MIB Dump),0,0,0,0,0
T1602.002,Data from Configuration Repository,Network Device Configuration Dump,0,0,0,0,0
T1606,Forge Web Credentials,n/a,0,0,0,0,0
T1606.001,Forge Web Credentials,Web Cookies,0,0,0,0,0
T1606.002,Forge Web Credentials,SAML Tokens,1,0,0,0,1
T1608,Stage Capabilities,n/a,0,1,0,0,1
T1608.001,Stage Capabilities,Upload Malware,0,0,0,0,0
T1608.002,Stage Capabilities,Upload Tool,0,0,0,0,0
T1608.003,Stage Capabilities,Install Digital Certificate,0,0,0,0,0
T1608.004,Stage Capabilities,Drive-by Target,0,0,0,0,0
T1608.005,Stage Capabilities,Link Target,0,0,0,0,0
T1609,Container Administration Command,n/a,0,0,1,0,1
T1610,Deploy Container,n/a,0,0,6,0,6
T1611,Escape to Host,n/a,0,0,6,0,6
T1612,Build Image on Host,n/a,0,0,0,0,0
T1613,Container and Resource Discovery,n/a,0,0,2,0,2
T1614,System Location Discovery,n/a,0,0,1,0,1
T1614.001,System Location Discovery,System Language Discovery,0,1,0,0,1
T1615,Group Policy Discovery,n/a,0,4,0,0,4
T1619,Cloud Storage Object Discovery,n/a,0,0,0,0,0
T1620,Reflective Code Loading,n/a,0,1,0,0,1
T1621,Multi-Factor Authentication Request Generation,n/a,0,0,0,7,7
T1622,Debugger Evasion,n/a,0,0,0,0,0
T1647,Plist File Modification,n/a,0,0,2,1,3
