Technique (ID), Technique (Name), Sub-technique (Name), Num. CAR, Num. Sigma, Num. ES SIEM, Total
T1578.004,Modify Cloud Compute Infrastructure,Revert Cloud Instance,0,0,0,0
T1580,Cloud Infrastructure Discovery,n/a,0,0,0,0
T1583,Acquire Infrastructure,n/a,0,0,0,0
T1583.001,Acquire Infrastructure,Domains,0,0,0,0
T1583.002,Acquire Infrastructure,DNS Server,0,0,0,0
T1583.003,Acquire Infrastructure,Virtual Private Server,0,0,0,0
T1583.004,Acquire Infrastructure,Server,0,0,0,0
T1583.005,Acquire Infrastructure,Botnet,0,0,0,0
T1583.006,Acquire Infrastructure,Web Services,0,0,0,0
T1584,Compromise Infrastructure,n/a,0,0,0,0
T1584.001,Compromise Infrastructure,Domains,0,0,0,0
T1584.002,Compromise Infrastructure,DNS Server,0,0,0,0
T1584.003,Compromise Infrastructure,Virtual Private Server,0,0,0,0
T1584.004,Compromise Infrastructure,Server,0,0,0,0
T1584.005,Compromise Infrastructure,Botnet,0,0,0,0
T1584.006,Compromise Infrastructure,Web Services,0,0,0,0
T1585,Establish Accounts,n/a,0,0,0,0
T1585.001,Establish Accounts,Social Media Accounts,0,0,0,0
T1585.002,Establish Accounts,Email Accounts,0,0,0,0
T1586,Compromise Accounts,n/a,0,0,0,0
T1586.001,Compromise Accounts,Social Media Accounts,0,0,0,0
T1586.002,Compromise Accounts,Email Accounts,0,0,0,0
T1587,Develop Capabilities,n/a,0,0,0,0
T1587.001,Develop Capabilities,Malware,0,0,0,0
T1587.002,Develop Capabilities,Code Signing Certificates,0,0,0,0
T1587.003,Develop Capabilities,Digital Certificates,0,0,0,0
T1587.004,Develop Capabilities,Exploits,0,0,0,0
T1588,Obtain Capabilities,n/a,0,0,0,0
T1588.001,Obtain Capabilities,Malware,0,0,0,0
T1588.002,Obtain Capabilities,Tool,0,0,0,0
T1588.003,Obtain Capabilities,Code Signing Certificates,0,0,0,0
T1588.004,Obtain Capabilities,Digital Certificates,0,0,0,0
T1588.005,Obtain Capabilities,Exploits,0,0,0,0
T1588.006,Obtain Capabilities,Vulnerabilities,0,0,0,0
T1589,Gather Victim Identity Information,n/a,0,0,0,0
T1589.001,Gather Victim Identity Information,Credentials,0,0,0,0
T1589.002,Gather Victim Identity Information,Email Addresses,0,0,0,0
T1589.003,Gather Victim Identity Information,Employee Names,0,0,0,0
T1590,Gather Victim Network Information,n/a,0,0,0,0
T1590.001,Gather Victim Network Information,Domain Properties,0,0,0,0
T1590.002,Gather Victim Network Information,DNS,0,0,0,0
T1590.003,Gather Victim Network Information,Network Trust Dependencies,0,0,0,0
T1590.004,Gather Victim Network Information,Network Topology,0,0,0,0
T1590.005,Gather Victim Network Information,IP Addresses,0,0,0,0
T1590.006,Gather Victim Network Information,Network Security Appliances,0,0,0,0
T1591,Gather Victim Org Information,n/a,0,0,0,0
T1591.001,Gather Victim Org Information,Determine Physical Locations,0,0,0,0
T1591.002,Gather Victim Org Information,Business Relationships,0,0,0,0
T1591.003,Gather Victim Org Information,Identify Business Tempo,0,0,0,0
T1591.004,Gather Victim Org Information,Identify Roles,0,0,0,0
T1592,Gather Victim Host Information,n/a,0,1,0,1
T1592.001,Gather Victim Host Information,Hardware,0,0,0,0
T1592.002,Gather Victim Host Information,Software,0,0,0,0
T1592.003,Gather Victim Host Information,Firmware,0,0,0,0
T1592.004,Gather Victim Host Information,Client Configurations,0,0,0,0
T1593,Search Open Websites/Domains,n/a,0,0,0,0
T1593.001,Search Open Websites/Domains,Social Media,0,0,0,0
T1593.002,Search Open Websites/Domains,Search Engines,0,0,0,0
T1594,Search Victim-Owned Websites,n/a,0,0,0,0
T1595,Active Scanning,n/a,0,0,0,0
T1595.001,Active Scanning,Scanning IP Blocks,0,0,0,0
T1595.002,Active Scanning,Vulnerability Scanning,0,0,0,0
T1596,Search Open Technical Databases,n/a,0,0,0,0
T1596.001,Search Open Technical Databases,DNS/Passive DNS,0,0,0,0
T1596.002,Search Open Technical Databases,WHOIS,0,0,0,0
T1596.003,Search Open Technical Databases,Digital Certificates,0,0,0,0
T1596.004,Search Open Technical Databases,CDNs,0,0,0,0
T1596.005,Search Open Technical Databases,Scan Databases,0,0,0,0
T1597,Search Closed Sources,n/a,0,0,0,0
T1597.001,Search Closed Sources,Threat Intel Vendors,0,0,0,0
T1597.002,Search Closed Sources,Purchase Technical Data,0,0,0,0
T1598,Phishing for Information,n/a,0,0,0,0
T1598.001,Phishing for Information,Spearphishing Service,0,0,0,0
T1598.002,Phishing for Information,Spearphishing Attachment,0,0,0,0
T1598.003,Phishing for Information,Spearphishing Link,0,0,0,0
T1599,Network Boundary Bridging,n/a,0,0,0,0
T1599.001,Network Boundary Bridging,Network Address Translation Traversal,0,0,0,0
T1600,Weaken Encryption,n/a,0,0,0,0
T1600.001,Weaken Encryption,Reduce Key Space,0,0,0,0
T1600.002,Weaken Encryption,Disable Crypto Hardware,0,0,0,0
T1601,Modify System Image,n/a,0,0,0,0
T1601.001,Modify System Image,Patch System Image,0,0,0,0
T1601.002,Modify System Image,Downgrade System Image,0,0,0,0
T1602,Data from Configuration Repository,n/a,0,0,0,0
T1602.001,Data from Configuration Repository,SNMP (MIB Dump),0,0,0,0
T1602.002,Data from Configuration Repository,Network Device Configuration Dump,0,0,0,0
T1606,Forge Web Credentials,n/a,0,0,0,0
T1606.001,Forge Web Credentials,Web Cookies,0,0,0,0
T1606.002,Forge Web Credentials,SAML Tokens,0,0,0,0
